Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Shani Shingnapur,Ahmednagar,April,Summer,Yes,Warm,Medium,Solo Travelers,No,High,High,Low
Aga Khan Palace,Pune,October,Post-Monsoon,No,Clear,Medium,Families,No,Medium,Low,High
Gateway of India,Mumbai,January,Winter,Yes,Cool,High,Solo Travelers,Yes,Medium,Low,Medium
Bhimashankar Temple,Pune,June,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,High,Low
Mahabaleshwar,Satara,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Medium
Bhimashankar Temple,Pune,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,High,Medium
Ajanta Caves,Aurangabad,September,Monsoon,Yes,Humid,Low,Couples,Yes,Medium,Medium,Medium
Matheran,Raigad,February,Winter,Yes,Cool,High,Families,No,Medium,Low,High
Lonavala,Pune,September,Monsoon,Yes,Rainy,High,Foreign Tourists,No,Medium,Medium,High
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,High,Low
Panchgani,Satara,April,Summer,No,Warm,Medium,Couples,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,December,Winter,No,Cool,Low,Families,No,Low,High,Medium
Trimbakeshwar Temple,Nashik,March,Summer,No,Hot,Low,Couples,No,Medium,High,High
Panchgani,Satara,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,High
Kaas Plateau,Satara,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,Yes,Low,Low,High
Tarkarli Beach,Sindhudurg,August,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Medium,High
Khandala,Pune,May,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,Low,High
Aga Khan Palace,Pune,February,Winter,Yes,Pleasant,High,Couples,Yes,Medium,Low,Medium
Ellora Caves,Aurangabad,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,Yes,Medium,Low,Medium
Panchgani,Satara,November,Post-Monsoon,No,Clear,Medium,Students,No,High,Low,Low
Panchgani,Satara,November,Post-Monsoon,No,Clear,Low,Families,No,Low,Low,Low
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Couples,No,High,High,Low
Ellora Caves,Aurangabad,June,Monsoon,No,Humid,Low,Families,No,Low,Low,High
Kaas Plateau,Satara,March,Summer,Yes,Hot,Medium,Couples,No,High,Low,Medium
Lonavala,Pune,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,Low
Mahabaleshwar,Satara,March,Summer,Yes,Warm,Medium,Students,No,High,Low,Medium
Daulatabad Fort,Aurangabad,June,Monsoon,No,Humid,Low,Families,No,Low,Low,Low
Daulatabad Fort,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,Medium
Elephanta Caves,Mumbai,August,Monsoon,No,Humid,Low,Solo Travelers,Yes,Low,Low,Low
Gateway of India,Mumbai,July,Monsoon,Yes,Humid,Medium,Couples,Yes,Low,Low,High
Khandala,Pune,February,Winter,No,Cool,Medium,Students,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,No,Pleasant,High,Couples,No,Low,High,Low
Raigad Fort,Raigad,March,Summer,Yes,Warm,Medium,Couples,No,High,Low,Low
Matheran,Raigad,October,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,Low
Lonavala,Pune,May,Summer,No,Warm,Low,Families,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,High
Lonavala,Pune,December,Winter,Yes,Pleasant,High,Families,No,Medium,Medium,High
Ajanta Caves,Aurangabad,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Medium,Low,High
Mahabaleshwar,Satara,October,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,Low,High
Pratapgad Fort,Satara,May,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,Low
Kaas Plateau,Satara,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Low,Low,High
Aga Khan Palace,Pune,July,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,High
Bhimashankar Temple,Pune,December,Winter,Yes,Pleasant,High,Couples,No,Low,High,Medium
Bhimashankar Temple,Pune,March,Summer,No,Warm,Low,Couples,No,Medium,High,High
Gateway of India,Mumbai,May,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,October,Post-Monsoon,Yes,Pleasant,High,Families,Yes,Low,High,Medium
Khandala,Pune,May,Summer,Yes,Hot,Medium,Solo Travelers,Yes,High,Low,Medium
Gateway of India,Mumbai,September,Monsoon,Yes,Humid,Medium,Students,No,High,Low,Low
Trimbakeshwar Temple,Nashik,August,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,High,Medium
Shani Shingnapur,Ahmednagar,June,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Medium,Low
Matheran,Raigad,July,Monsoon,No,Rainy,Low,Couples,No,Low,High,High
Khandala,Pune,January,Winter,No,Cool,Low,Solo Travelers,No,Low,Low,High
Elephanta Caves,Mumbai,September,Monsoon,No,Humid,Low,Couples,Yes,Low,Low,Medium
Panchgani,Satara,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Medium
Shirdi,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,High,High,Low
Ellora Caves,Aurangabad,September,Monsoon,Yes,Humid,Low,Solo Travelers,No,Medium,Low,Low
Gateway of India,Mumbai,September,Monsoon,No,Humid,Low,Families,No,High,High,Low
Raigad Fort,Raigad,August,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Medium,High
Sindhudurg Fort,Sindhudurg,November,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,High
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,Yes,Clear,High,Students,No,Medium,High,Low
Mahabaleshwar,Satara,July,Monsoon,Yes,Humid,High,Foreign Tourists,No,Medium,Low,Low
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,Low,Students,No,High,High,Low
Elephanta Caves,Mumbai,March,Summer,No,Warm,Low,Foreign Tourists,Yes,Medium,Low,Low
Mahabaleshwar,Satara,February,Winter,Yes,Cool,High,Students,Yes,Medium,Low,Low
Ellora Caves,Aurangabad,August,Monsoon,No,Rainy,High,Students,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,June,Monsoon,No,Rainy,Low,Students,No,Low,Low,Low
Elephanta Caves,Mumbai,January,Winter,Yes,Pleasant,High,Couples,Yes,Medium,Low,High
Ellora Caves,Aurangabad,July,Monsoon,No,Humid,Low,Couples,No,Low,High,High
Pratapgad Fort,Satara,February,Winter,Yes,Pleasant,High,Families,No,Medium,Low,High
Daulatabad Fort,Aurangabad,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,January,Winter,No,Cool,High,Solo Travelers,Yes,Low,Low,Low
Daulatabad Fort,Aurangabad,January,Winter,No,Pleasant,Medium,Students,No,Low,Low,Low
Bhimashankar Temple,Pune,October,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,High,Low
Lonavala,Pune,April,Summer,Yes,Warm,Medium,Students,No,High,Low,Medium
Ajanta Caves,Aurangabad,July,Monsoon,No,Humid,Medium,Students,No,Low,Low,Low
Lonavala,Pune,April,Summer,No,Warm,Low,Couples,No,Medium,Low,Medium
Elephanta Caves,Mumbai,June,Monsoon,No,Humid,High,Couples,No,Low,Low,Low
Panchgani,Satara,June,Monsoon,No,Humid,Low,Families,No,High,Low,High
Raigad Fort,Raigad,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
Kaas Plateau,Satara,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,Low,High
Trimbakeshwar Temple,Nashik,July,Monsoon,No,Rainy,Low,Families,No,Low,Low,High
Daulatabad Fort,Aurangabad,January,Winter,Yes,Cool,High,Students,Yes,Medium,Low,High
Shirdi,Ahmednagar,February,Winter,No,Pleasant,Medium,Students,No,Low,High,Medium
Shirdi,Ahmednagar,February,Winter,Yes,Pleasant,High,Students,No,Medium,High,Low
Matheran,Raigad,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,Medium
Shani Shingnapur,Ahmednagar,January,Winter,Yes,Pleasant,High,Couples,No,Medium,High,Low
Kaas Plateau,Satara,March,Summer,No,Warm,Low,Families,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,March,Summer,Yes,Humid,Medium,Foreign Tourists,Yes,High,Low,Medium
Daulatabad Fort,Aurangabad,June,Monsoon,No,Humid,Medium,Solo Travelers,No,Low,Low,High
Bhimashankar Temple,Pune,June,Monsoon,Yes,Humid,High,Families,No,Medium,High,Medium
Pratapgad Fort,Satara,November,Post-Monsoon,Yes,Pleasant,High,Couples,Yes,High,Low,Medium
Khandala,Pune,January,Winter,No,Pleasant,Medium,Couples,No,Low,Low,Low
Elephanta Caves,Mumbai,March,Summer,No,Warm,Low,Families,Yes,Medium,Low,Low
Elephanta Caves,Mumbai,September,Monsoon,Yes,Rainy,High,Students,No,Medium,High,Low
Sindhudurg Fort,Sindhudurg,February,Winter,Yes,Cool,Medium,Students,No,Medium,Low,Low
Pratapgad Fort,Satara,November,Post-Monsoon,No,Pleasant,Medium,Students,No,High,High,High
Daulatabad Fort,Aurangabad,January,Winter,No,Cool,Medium,Couples,No,Low,High,High
Bhimashankar Temple,Pune,October,Post-Monsoon,Yes,Clear,High,Students,No,Medium,High,Low
Ajanta Caves,Aurangabad,February,Winter,Yes,Cool,High,Families,Yes,Medium,Low,Low
Daulatabad Fort,Aurangabad,April,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Low
Panchgani,Satara,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Medium
Gateway of India,Mumbai,February,Winter,Yes,Cool,Low,Families,No,Medium,Medium,Medium
Kaas Plateau,Satara,June,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Medium
Shirdi,Ahmednagar,August,Monsoon,No,Humid,Low,Couples,No,Low,High,Medium
Pratapgad Fort,Satara,June,Monsoon,No,Humid,Low,Families,Yes,Low,Low,High
Elephanta Caves,Mumbai,July,Monsoon,Yes,Rainy,Medium,Families,No,High,Low,High
Khandala,Pune,August,Monsoon,Yes,Humid,High,Students,No,Medium,Low,High
Bhimashankar Temple,Pune,October,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,No,Low,High,High
Daulatabad Fort,Aurangabad,June,Monsoon,No,Rainy,Low,Foreign Tourists,No,Medium,Low,Low
Gateway of India,Mumbai,June,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,High,Low
Trimbakeshwar Temple,Nashik,June,Monsoon,No,Rainy,Medium,Foreign Tourists,No,Low,High,Low
Bhimashankar Temple,Pune,May,Summer,No,Humid,Low,Solo Travelers,Yes,Medium,High,High
Kaas Plateau,Satara,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,Low,High
Khandala,Pune,March,Summer,No,Humid,Medium,Foreign Tourists,No,Medium,Low,High
Pratapgad Fort,Satara,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,High,Medium
Lonavala,Pune,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,Low,Low
Raigad Fort,Raigad,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,High,Low
Shirdi,Ahmednagar,April,Summer,No,Warm,Low,Families,No,Medium,Low,High
Panchgani,Satara,February,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Medium,High
Mahabaleshwar,Satara,August,Monsoon,No,Humid,High,Families,No,Low,Low,High
Ellora Caves,Aurangabad,June,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Medium
Gateway of India,Mumbai,June,Monsoon,Yes,Rainy,Medium,Couples,Yes,Medium,Low,High
Daulatabad Fort,Aurangabad,March,Summer,Yes,Warm,High,Foreign Tourists,No,High,Low,High
Panchgani,Satara,June,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,April,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,High
Ellora Caves,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,Yes,High,Low,Medium
Elephanta Caves,Mumbai,July,Monsoon,No,Rainy,Medium,Families,No,Low,Low,High
Kaas Plateau,Satara,January,Winter,Yes,Cool,High,Couples,Yes,Medium,Low,High
Trimbakeshwar Temple,Nashik,September,Monsoon,Yes,Humid,Medium,Students,No,Medium,High,High
Tarkarli Beach,Sindhudurg,May,Summer,No,Warm,Low,Families,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Medium,Low,Low
Shirdi,Ahmednagar,December,Winter,Yes,Pleasant,High,Students,Yes,Medium,High,Low
Ajanta Caves,Aurangabad,May,Summer,Yes,Humid,Medium,Couples,Yes,High,Low,Low
Elephanta Caves,Mumbai,August,Monsoon,No,Humid,Low,Students,No,Low,Low,High
Tarkarli Beach,Sindhudurg,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Medium
Khandala,Pune,December,Winter,Yes,Pleasant,Low,Families,No,Medium,Low,Medium
Panchgani,Satara,November,Post-Monsoon,Yes,Pleasant,High,Families,No,High,Low,Low
Ajanta Caves,Aurangabad,August,Monsoon,Yes,Humid,High,Foreign Tourists,No,Medium,Low,High
Kaas Plateau,Satara,August,Monsoon,Yes,Humid,Medium,Couples,Yes,Medium,Medium,Medium
Gateway of India,Mumbai,January,Winter,Yes,Pleasant,High,Students,Yes,Medium,Low,Medium
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,Yes,Low,Low,Medium
Matheran,Raigad,December,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,Medium
Pratapgad Fort,Satara,August,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Medium
Gateway of India,Mumbai,October,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,Medium
Daulatabad Fort,Aurangabad,October,Post-Monsoon,No,Pleasant,Medium,Families,No,Low,Low,Medium
Aga Khan Palace,Pune,November,Post-Monsoon,Yes,Pleasant,High,Students,Yes,Medium,Low,Low
Khandala,Pune,February,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,Low
Gateway of India,Mumbai,December,Winter,Yes,Pleasant,High,Solo Travelers,Yes,Medium,Low,Medium
Aga Khan Palace,Pune,November,Post-Monsoon,No,Pleasant,Medium,Students,Yes,Low,Low,Low
Pratapgad Fort,Satara,March,Summer,Yes,Warm,Medium,Students,No,High,Low,High
Shirdi,Ahmednagar,April,Summer,No,Hot,Low,Families,No,Medium,High,High
Ajanta Caves,Aurangabad,May,Summer,Yes,Hot,Medium,Couples,No,High,Low,Medium
Khandala,Pune,January,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,Low,Low
Ellora Caves,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Couples,Yes,Low,Low,Low
Shani Shingnapur,Ahmednagar,July,Monsoon,No,Humid,Low,Families,No,Low,High,Medium
Mahabaleshwar,Satara,September,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Medium
Shirdi,Ahmednagar,September,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Medium,Medium
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,December,Winter,No,Pleasant,Medium,Families,Yes,Low,High,Low
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Cool,High,Couples,No,Medium,High,High
Shirdi,Ahmednagar,March,Summer,Yes,Warm,Medium,Families,No,High,High,High
Gateway of India,Mumbai,March,Summer,Yes,Warm,Medium,Couples,Yes,High,Low,High
Aga Khan Palace,Pune,December,Winter,No,Pleasant,Medium,Families,Yes,Medium,Medium,High
Daulatabad Fort,Aurangabad,May,Summer,No,Hot,Low,Families,No,Medium,Low,High
Gateway of India,Mumbai,February,Winter,Yes,Pleasant,High,Couples,Yes,Medium,Low,High
Gateway of India,Mumbai,October,Post-Monsoon,No,Clear,High,Families,Yes,Low,High,Medium
Ellora Caves,Aurangabad,September,Monsoon,Yes,Rainy,Low,Couples,No,Medium,High,High
Raigad Fort,Raigad,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,September,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,High,High,High
Mahabaleshwar,Satara,July,Monsoon,Yes,Humid,High,Couples,Yes,Low,Low,Low
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Cool,High,Students,No,Medium,Low,Low
Aga Khan Palace,Pune,May,Summer,No,Humid,Low,Students,Yes,Medium,High,Low
Ellora Caves,Aurangabad,June,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,Low
Elephanta Caves,Mumbai,May,Summer,No,Humid,Low,Solo Travelers,Yes,Medium,Low,Low
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,Low,Low,Low
Mahabaleshwar,Satara,May,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,High
Lonavala,Pune,May,Summer,Yes,Warm,Medium,Students,No,High,Low,Low
Trimbakeshwar Temple,Nashik,December,Winter,No,Cool,Medium,Couples,No,Low,High,Low
Aga Khan Palace,Pune,March,Summer,Yes,Humid,Medium,Foreign Tourists,Yes,High,Low,High
Bhimashankar Temple,Pune,June,Monsoon,Yes,Humid,Medium,Students,No,Medium,High,Medium
Tarkarli Beach,Sindhudurg,February,Winter,No,Pleasant,Low,Couples,Yes,Low,Low,Medium
Matheran,Raigad,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,Low,High
Bhimashankar Temple,Pune,July,Monsoon,No,Rainy,Low,Families,No,High,High,High
Mahabaleshwar,Satara,February,Winter,No,Cool,High,Families,No,Low,Low,High
Elephanta Caves,Mumbai,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,Yes,Low,Low,Medium
Sindhudurg Fort,Sindhudurg,March,Summer,Yes,Warm,Medium,Students,No,High,Low,Low
Tarkarli Beach,Sindhudurg,January,Winter,Yes,Cool,Low,Students,No,Medium,High,Medium
Tarkarli Beach,Sindhudurg,March,Summer,Yes,Humid,Medium,Couples,No,High,Medium,Medium
Raigad Fort,Raigad,April,Summer,Yes,Warm,Medium,Solo Travelers,No,High,Low,Medium
Ajanta Caves,Aurangabad,September,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,High
Bhimashankar Temple,Pune,September,Monsoon,No,Humid,Low,Students,No,Low,High,Medium
Raigad Fort,Raigad,April,Summer,No,Warm,Low,Solo Travelers,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,November,Post-Monsoon,Yes,Clear,High,Families,Yes,High,Low,Medium
Panchgani,Satara,December,Winter,No,Pleasant,Medium,Couples,No,Medium,Low,High
Gateway of India,Mumbai,April,Summer,Yes,Hot,Medium,Students,Yes,High,Low,High
Tarkarli Beach,Sindhudurg,December,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,High
Sindhudurg Fort,Sindhudurg,July,Monsoon,No,Rainy,Low,Foreign Tourists,No,High,Low,Low
Bhimashankar Temple,Pune,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,High,Medium
Gateway of India,Mumbai,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,High
Elephanta Caves,Mumbai,March,Summer,No,Warm,Low,Students,Yes,High,Low,High
Sindhudurg Fort,Sindhudurg,October,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,High
Tarkarli Beach,Sindhudurg,January,Winter,Yes,Pleasant,High,Solo Travelers,No,Low,Low,Low
Khandala,Pune,September,Monsoon,No,Humid,High,Foreign Tourists,No,Low,Low,Low
Panchgani,Satara,March,Summer,No,Warm,High,Families,No,Medium,Low,Low
Panchgani,Satara,July,Monsoon,No,Rainy,Low,Couples,Yes,Medium,Low,Low
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,No,Clear,Medium,Couples,No,High,High,Low
Pratapgad Fort,Satara,June,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,High,Medium
Ellora Caves,Aurangabad,June,Monsoon,No,Humid,Low,Solo Travelers,Yes,Low,Low,Low
Bhimashankar Temple,Pune,January,Winter,No,Cool,Low,Students,No,Low,High,Low
Matheran,Raigad,May,Summer,Yes,Warm,High,Solo Travelers,No,High,Low,Medium
Lonavala,Pune,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,High,Low,High
Matheran,Raigad,December,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,High
Trimbakeshwar Temple,Nashik,April,Summer,Yes,Hot,Medium,Students,Yes,High,High,Medium
Kaas Plateau,Satara,April,Summer,No,Hot,Low,Families,No,Medium,Low,High
Gateway of India,Mumbai,January,Winter,No,Cool,Medium,Couples,Yes,Low,Low,High
Daulatabad Fort,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,Low
Matheran,Raigad,September,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,High
Sindhudurg Fort,Sindhudurg,January,Winter,No,Pleasant,Medium,Families,No,Low,Low,Low
Shirdi,Ahmednagar,May,Summer,Yes,Hot,Medium,Couples,No,High,High,High
Shani Shingnapur,Ahmednagar,December,Winter,No,Cool,Medium,Students,No,Low,High,Low
Bhimashankar Temple,Pune,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,June,Monsoon,No,Humid,High,Solo Travelers,No,Low,Low,High
Khandala,Pune,July,Monsoon,Yes,Humid,High,Solo Travelers,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,February,Winter,Yes,Cool,Medium,Families,No,Medium,Low,High
Bhimashankar Temple,Pune,March,Summer,Yes,Humid,Low,Solo Travelers,No,High,High,High
Ellora Caves,Aurangabad,March,Summer,No,Hot,Low,Students,Yes,High,Low,Medium
Bhimashankar Temple,Pune,February,Winter,No,Pleasant,Medium,Students,No,Low,High,High
Pratapgad Fort,Satara,October,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,High
Khandala,Pune,June,Monsoon,Yes,Humid,High,Couples,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,May,Summer,No,Humid,Low,Families,Yes,Medium,Low,High
Shani Shingnapur,Ahmednagar,August,Monsoon,Yes,Rainy,High,Couples,No,Medium,High,Medium
Panchgani,Satara,February,Winter,No,Pleasant,Medium,Students,Yes,Low,Low,Medium
Daulatabad Fort,Aurangabad,January,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Low
Elephanta Caves,Mumbai,August,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,High
Mahabaleshwar,Satara,July,Monsoon,Yes,Humid,High,Foreign Tourists,No,Medium,High,High
Gateway of India,Mumbai,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,August,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,Medium
Aga Khan Palace,Pune,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,Yes,Medium,Low,Medium
Ellora Caves,Aurangabad,May,Summer,No,Humid,High,Solo Travelers,Yes,Medium,Low,High
Elephanta Caves,Mumbai,October,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,September,Monsoon,Yes,Humid,Low,Solo Travelers,No,Medium,High,Low
Panchgani,Satara,January,Winter,No,Pleasant,Medium,Families,No,Low,Low,High
Khandala,Pune,September,Monsoon,No,Humid,High,Families,Yes,Low,Medium,High
Trimbakeshwar Temple,Nashik,December,Winter,No,Pleasant,Medium,Students,No,Low,High,Low
Gateway of India,Mumbai,June,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,January,Winter,Yes,Pleasant,Low,Solo Travelers,No,Medium,Low,High
Bhimashankar Temple,Pune,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,Medium,Medium
Ajanta Caves,Aurangabad,October,Post-Monsoon,Yes,Pleasant,High,Couples,Yes,Medium,Low,Low
Lonavala,Pune,January,Winter,No,Pleasant,Medium,Students,No,Low,Low,High
Raigad Fort,Raigad,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,High,Medium
Khandala,Pune,June,Monsoon,No,Rainy,High,Foreign Tourists,No,Medium,Low,Low
Elephanta Caves,Mumbai,July,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,High,High
Bhimashankar Temple,Pune,August,Monsoon,No,Humid,High,Foreign Tourists,No,Low,High,High
Shani Shingnapur,Ahmednagar,January,Winter,No,Cool,Medium,Foreign Tourists,No,Low,High,Medium
Panchgani,Satara,February,Winter,No,Pleasant,Low,Students,Yes,Low,Low,Low
Daulatabad Fort,Aurangabad,March,Summer,Yes,Hot,Medium,Students,No,Low,Low,Low
Raigad Fort,Raigad,October,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Low
Matheran,Raigad,May,Summer,No,Warm,Medium,Families,Yes,Medium,Medium,High
Daulatabad Fort,Aurangabad,February,Winter,Yes,Cool,Low,Families,Yes,Low,Low,Medium
Gateway of India,Mumbai,March,Summer,Yes,Warm,Medium,Families,No,Medium,Low,Low
Aga Khan Palace,Pune,May,Summer,Yes,Warm,Medium,Students,Yes,High,Low,Low
Shirdi,Ahmednagar,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,High,High
Panchgani,Satara,May,Summer,No,Hot,High,Solo Travelers,No,Medium,Low,High
Kaas Plateau,Satara,February,Winter,Yes,Pleasant,Medium,Students,Yes,Medium,Low,High
Mahabaleshwar,Satara,February,Winter,Yes,Pleasant,High,Students,Yes,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,March,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,High,Medium
Raigad Fort,Raigad,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Mahabaleshwar,Satara,July,Monsoon,Yes,Rainy,High,Couples,No,Medium,Low,Low
Shirdi,Ahmednagar,April,Summer,No,Warm,Medium,Solo Travelers,No,Low,High,High
Kaas Plateau,Satara,August,Monsoon,No,Humid,Low,Couples,No,Low,Low,Medium
Gateway of India,Mumbai,August,Monsoon,Yes,Rainy,Medium,Families,No,High,Low,Medium
Lonavala,Pune,September,Monsoon,No,Humid,High,Families,No,Low,Low,High
Kaas Plateau,Satara,February,Winter,Yes,Cool,High,Couples,No,Medium,Low,Low
Ajanta Caves,Aurangabad,March,Summer,Yes,Hot,Medium,Couples,Yes,High,Low,High
Gateway of India,Mumbai,February,Winter,No,Cool,Medium,Couples,Yes,Low,Low,Low
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,No,Clear,Low,Foreign Tourists,No,Low,Low,Medium
Sindhudurg Fort,Sindhudurg,September,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,High
Sindhudurg Fort,Sindhudurg,July,Monsoon,Yes,Rainy,Medium,Students,Yes,Medium,Low,Low
Raigad Fort,Raigad,April,Summer,No,Warm,Medium,Students,No,Low,Medium,High
Elephanta Caves,Mumbai,April,Summer,Yes,Hot,Low,Families,Yes,High,Low,Medium
Mahabaleshwar,Satara,September,Monsoon,Yes,Rainy,High,Couples,No,Medium,Medium,Medium
